TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
3596.5405,56.6934,0.1469,2.3879,72.5235,0.1627,0.1328,56.206
3596.6903,58.1244,0.1514,2.3808,72.6456,0.167,0.1367,64.3368
3596.8402,59.5553,0.1559,2.3738,72.7677,0.1712,0.1405,70.4518
3596.99,60.6234,0.1582,2.3682,72.8517,0.1682,0.1443,74.6602
3597.1398,60.9758,0.156,2.3655,72.8605,0.1511,0.1477,64.0505
3597.2897,61.3283,0.1539,2.3627,72.8694,0.1339,0.1512,53.4407
3597.4395,61.674,0.1517,2.36,72.8775,0.117,0.1546,30.0521
3597.5893,59.8835,0.1633,2.3668,72.6691,0.1894,0.1378,25.1439
3597.7392,58.093,0.1748,2.3735,72.4606,0.2618,0.1211,28.0852
3597.889,56.3026,0.1864,2.3803,72.2521,0.3343,0.1044,34.1707
3598.0388,56.108,0.1865,2.3822,71.9497,0.3398,0.1044,31.6793
3598.1887,56.7001,0.181,2.3818,71.6009,0.3122,0.1126,18.5915
3598.3385,57.2922,0.1755,2.3814,71.2521,0.2847,0.1208,29.4163
3598.4883,58.0899,0.1695,2.3798,70.8667,0.2516,0.1287,48.1472
3598.6382,59.293,0.1624,2.3758,70.4089,0.2077,0.1357,66.4515
3598.788,60.496,0.1554,2.3718,69.9511,0.1637,0.1427,63.3259
3598.9379,61.6943,0.1483,2.3679,69.4979,0.1199,0.1497,33.7242
3599.0877,61.3724,0.148,2.3619,70.4976,0.1033,0.155,21.9848
3599.2375,61.0505,0.1476,2.3558,71.4973,0.0868,0.1603,32.3138
3599.3874,60.7286,0.1473,2.3498,72.4969,0.0703,0.1656,24.32
3599.5372,60.4807,0.1532,2.3566,72.5514,0.1155,0.1568,31.1981
3599.687,60.2692,0.1621,2.3697,72.1401,0.1912,0.1411,33.4535
3599.8369,60.0577,0.1711,2.3829,71.7287,0.2668,0.1254,29.9979
3599.9867,60.3079,0.1792,2.3951,71.5145,0.3364,0.1035,25.7079
